date,textArea,nonTextArea,maxLevel,averageLevel,numOfLeaves,numOf1stLevelNodes,numOf2ndLevelNodes,numOf3rdLevelNodes,percentageOfLeafArea,percentageOfLeafArea2,numOfTextGroulp,numOfImageArea,colorFulnessmethod1,Complexity
20040327,0,256751,11,8.842458100558659,895,1,2,4,27.5356272628996,27.810983535528596,120,16,126.2672087153806,12.521661701819914
20040502,0,302529,11,9.365400843881856,1185,1,2,4,32.61472815400007,32.94087543554007,113,25,121.04992422261009,14.100957505749333
20040607,0,302529,11,9.365400843881856,1185,1,2,4,32.61472815400007,32.94087543554007,113,25,121.04992422261009,14.100957505749333
20040609,0,296607,11,9.365400843881856,1185,1,2,4,31.97629540828647,32.29605836236934,113,25,118.49296325435267,14.098032850671771
20040612,0,298704,11,9.365400843881856,1185,1,2,4,32.20236657812123,32.52439024390244,113,25,118.2506787989229,14.0993822938996
20040615,0,256463,11,8.758832565284179,1302,1,2,9,29.954681897286754,30.32911542100284,120,21,120.91922887684838,14.831999892594215
20040617,0,256463,11,8.758832565284179,1302,1,2,9,29.954681897286754,30.32911542100284,120,21,120.91922887684838,14.831999892594215
20040619,0,267110,11,8.749806949806949,1295,1,2,9,31.198243339523692,31.58822138126774,118,21,121.10070232924222,14.69060158063834
20040622,0,210878,11,8.953237410071942,834,1,2,4,28.51513799304964,28.87157721796276,90,19,116.81988529291296,10.798590193766207
20040625,0,211133,11,8.953237410071942,834,1,2,4,28.549619352832206,28.906489594742606,90,19,116.1222463419076,10.79935728083272
20040626,0,218273,11,8.953237410071942,834,1,2,4,29.515097426744013,29.884036144578314,90,19,118.59222157405739,10.803440388472197
20040628,0,215213,11,8.953237410071942,834,1,2,4,29.101321109353236,29.465087623220153,90,19,117.09320057528443,10.801628450137912
20040701,0,229176,11,9.276356192425792,977,1,2,5,30.98941219423147,31.376779846659364,107,18,119.80411778162815,12.362649570760695
20040703,0,233001,11,9.276356192425792,977,1,2,5,31.50663259096994,31.900465498357065,107,18,122.58705545715864,12.3653948577524
20040704,0,229431,11,9.276356192425792,977,1,2,5,31.023893554014037,31.41169222343921,107,18,119.07157802276713,12.363404100147566
20040706,0,217764,11,9.284552845528456,984,1,2,5,29.44626992819764,29.81434830230011,109,18,121.04403543543948,12.505156774556777
20040708,0,245571,11,8.93893893893894,999,1,3,10,32.28690884707924,32.69049520766773,107,20,123.54196678379633,12.597087730105894
20040711,0,245571,11,8.93893893893894,999,1,3,10,32.28690884707924,32.69049520766773,107,20,123.54196678379633,12.597087730105894
20040714,0,238431,11,8.93893893893894,999,1,3,10,31.348163925373722,31.740015974440894,107,20,122.17021105858606,12.593262889473966
20040716,0,245571,11,8.93893893893894,999,1,3,10,32.28690884707924,32.69049520766773,107,20,123.54196678379633,12.597087730105894
20040717,0,291616,11,9.036789297658864,1196,1,3,10,35.26148414166697,35.702252693437806,118,18,123.25751672572508,14.048323876151208
20040718,0,284731,11,9.036789297658864,1196,1,3,10,34.4289670016082,34.85932908912831,118,18,121.35561895097057,14.045488156546435
20040719,0,284476,11,9.036789297658864,1196,1,3,10,34.39813303345788,34.8281096963761,118,18,121.99610839902117,14.044811508524361
20040720,0,284731,11,9.036789297658864,1196,1,3,10,34.4289670016082,34.85932908912831,118,18,121.35561895097057,14.045488156546435
20040721,0,273064,11,9.044887780548628,1203,1,3,10,33.018222270589234,33.430950048971596,120,18,123.04162291290473,14.186938175433019
20040722,0,238036,11,8.753883892068684,1223,1,3,10,29.714014655032518,30.085439838220424,133,21,130.05079510352334,15.132864877247286
20040724,0,227134,11,8.763414634146342,1230,1,3,10,28.353118875532086,28.70753286147624,135,21,129.7794863429828,15.274384528033222
20040730,0,225943,11,9.367432150313153,958,1,2,5,29.208583801952038,29.57369109947644,102,27,117.49455976405888,12.500769435494576
20040805,0,233395,11,9.40468583599574,939,1,2,5,30.171934587292352,30.54908376963351,95,27,119.72656477444578,12.044948138500501
20040807,0,223727,11,9.366388308977035,958,1,2,5,28.922112339215307,29.283638743455498,102,27,117.8159542896057,12.499293853891913
20040809,0,238656,11,8.74757281553398,1133,1,3,10,28.829455678770746,29.189823874755383,121,20,122.78072736165413,13.98940918801789
